	Name	Version	Authors	Number of Nodes	Number of Namespaces	Number of Edges	Number of Annotations	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings	Author
misc/damesquita2018.bel	Curation of Neurodegeneration in BEL (CONIB)	0.0.8	Charles Tapley Hoyt, Daniel Domingo-Fernández, Esther Wollert, Sandra Spalek, Rana Al Disi, Lingling Xu, Kristian Kolpeja, Yojana Gadiya, Trusha Adeshara, Stephan Gebel, Sepehr Golriz	51	6	120	5	1	23	4.71E-02	1	0	
misc/gant2018.bel	FK506-Binding Protein 12.6/1b, a Negative Regulator of [Ca2], Rescues Memory and Restores Genomic Regulation in the Hippocampus of Aging Rats	1.0.0		30	5	51	3	1	7	5.86E-02	1	0	Lingling Xu
misc/maniati2019.bel	New insights into the role of microRNAs and long noncoding RNAs in most common neurodegenerative diseases	1.0.0		94	9	181	5	1	5	2.07E-02	2	0	Sandra Spalek
misc/neurotransmitter_insulin_neurommsig_enrichment.bel	Neurotransmitter and Insulin NeuroMMSig enrichments	0.0.1	Kristian Kolpeja, Daniel Domingo-Fernandez	121	13	234	6	16	90	1.61E-02	5	0	
hpoxia/russo2019.bel	Hypoxia and Inflammation as a Consequence of β-Fibril Accumulation: A Perspective View for New Potential Therapeutic Targets.	1.0.0		103	12	160	2	1	7	1.52E-02	3	0	Yojana Gadiya
nfkb/bhardwaj2015.bel	RelB/p50 complexes regulate cytokine-induced YKL-40 expression	1.0.0		37	6	92	5	1	10	6.91E-02	2	0	Sandra Spalek
nfkb/chen2012.bel	Increased NF-κB signalling up-regulates BACE1 expression and its therapeutic potential in Alzheimer's disease.	1.0.0		20	8	35	4	1	9	9.21E-02	1	0	Esther Wollert
nfkb/marwarha2017.bel	Nuclear Factor Kappa-light-chain-enhancer of Activated B Cells (NF-κB) - a Friend, a Foe, or a Bystander - in the Neurodegenerative Cascade and Pathogenesis of Alzheimer's Disease	1.0.0		144	9	305	7	1	2	1.48E-02	1	0	Sandra Spalek
nfkb/seo2017.bel	Phytochemicals as inhibitors of NF-κB for treatment of Alzheimer’s disease	1.0.0		134	9	259	6	1	3	1.45E-02	1	0	Esther Wollert
nfkb/shi2016.bel	Upstream regulators and downstream effectors of NF-κBinAlzheimer's disease	1.0.0		99	10	218	6	1	10	2.25E-02	1	0	Esther Wollert
nfkb/srinivasan2015.bel	Significance of NF-κB as a pivotal therapeutic target in the neurodegenerative pathologies of Alzheimer's disease and multiple sclerosis	1.0.0		75	7	154	5	1	2	2.77E-02	1	0	Sandra Spalek
nfkb/wardyn2015.bel	Dissecting molecular cross-talk between Nrf2 andNF-κB response pathways	1.0.0		97	8	179	3	1	3	1.92E-02	1	0	Esther Wollert
