Line Number	Position	Line	Error	Message
303	48	"path(MESH:""Epstein-Barr Virus Infections"") -- p(NCBIGENE:3783744, loc(MESH:""Plasma Cells"")"	MissingNamespaceNameWarning	"""3783744"" is not in the NCBIGENE namespace"
158	32	"bp(GO:aging) negativeCorrelation r(CONSO:""alpha-4-containing nAChR"")"	InvalidFunctionSemantic	"RNA CONSO:""alpha-4-containing nAChR"" should be encoded as one of: Complex"
159	32	"bp(GO:aging) negativeCorrelation r(CONSO:""alpha-7-containing nAChR"")"	InvalidFunctionSemantic	"RNA CONSO:""alpha-7-containing nAChR"" should be encoded as one of: Complex"
218	66	"p(MESH:""Receptors, Nicotinic"",loc(MESH:""GABAergic Neurons"")) -- a(CONSO:neurotransmitters)"	MissingNamespaceNameWarning	"""neurotransmitters"" is not in the CONSO namespace"
219	41	"p(MESH:""Receptors, Nicotinic"") reg sec(a(CONSO:neurotransmitters))"	MissingNamespaceNameWarning	"""neurotransmitters"" is not in the CONSO namespace"
117	17	"p(CONSO:DC8E8) -- path(CONSO:""Braak_Stage I"")"	InvalidFunctionSemantic	"Pathology CONSO:""Braak_Stage I"" should be encoded as one of: miRNA, Gene, Complex, RNA, Abundance, Protein"
551	4	"SET MeSHDisease = ""Hypoxia"""	UndefinedAnnotationWarning	"""MeSHDisease"" is not defined"
568	6	UNSET MeSHDisease	UndefinedAnnotationWarning	"""MeSHDisease"" is not defined"
157	56	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del"")) -- a(CONSO:""Tau epitope, 12E8"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, 12E8"" should be encoded as one of: Protein"
158	94	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del""),var(""p.Ile277Pro""),var(""p.Ile308Pro"")) -- a(CONSO:""Tau epitope, 12E8"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, 12E8"" should be encoded as one of: Protein"
165	56	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del"")) -- a(CONSO:""Tau epitope, PHF1"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, PHF1"" should be encoded as one of: Protein"
166	94	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del""),var(""p.Ile277Pro""),var(""p.Ile308Pro"")) -- a(CONSO:""Tau epitope, PHF1"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, PHF1"" should be encoded as one of: Protein"
174	57	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del"")) neg a(CONSO:""Tau epitope, AT180"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, AT180"" should be encoded as one of: Protein"
175	57	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del"")) pos a(CONSO:""Tau epitope, AT8"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, AT8"" should be encoded as one of: Protein"
176	95	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del""),var(""p.Ile277Pro""),var(""p.Ile308Pro"")) neg a(CONSO:""Tau epitope, AT180"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, AT180"" should be encoded as one of: Protein"
177	95	"p(CONSO:""Tau isoform F (441 aa)"", var(""p.Lys280del""),var(""p.Ile277Pro""),var(""p.Ile308Pro"")) pos a(CONSO:""Tau epitope, AT8"")"	InvalidFunctionSemantic	"Abundance CONSO:""Tau epitope, AT8"" should be encoded as one of: Protein"
94	6	"act(a(CONSO:""Glymphatic System"")) -| a(CHEBI:""amyloid-beta"",loc(GO:""extracellular region""))"	MissingNamespaceNameWarning	"""Glymphatic System"" is not in the CONSO namespace"
103	27	"act(p(HGNC:AQP4)) -> act(a(CONSO:""Glymphatic System""))"	MissingNamespaceNameWarning	"""Glymphatic System"" is not in the CONSO namespace"
104	6	"act(a(CONSO:""Glymphatic System"")) -| a(CHEBI:""amyloid-beta"",loc(GO:""extracellular region""))"	MissingNamespaceNameWarning	"""Glymphatic System"" is not in the CONSO namespace"
230	2	"a(CONSO:""amyloid-beta polypeptide 38"") isA a(CHEBI:""amyloid-beta"")"	MissingNamespaceNameWarning	"""amyloid-beta polypeptide 38"" is not in the CONSO namespace"
