	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
misc/damesquita2018.bel	Curation of Neurodegeneration in BEL (CONIB)	Trusha Adeshara, Rana Al Disi, Daniel Domingo-Fernández, Yojana Gadiya, Stephan Gebel, Sepehr Golriz, Charles Tapley Hoyt, Kristian Kolpeja, Sandra Spalek, Esther Wollert, Lingling Xu	21	17	12	9	35	51	120	1	23	4.71E-02	1	0
misc/gant2018.bel	FK506-Binding Protein 12.6/1b, a Negative Regulator of [Ca2], Rescues Memory and Restores Genomic Regulation in the Hippocampus of Aging Rats	Lingling Xu	5	0	4	0	0	30	51	1	7	5.86E-02	1	0
misc/maniati2019.bel	New insights into the role of microRNAs and long noncoding RNAs in most common neurodegenerative diseases	Sandra Spalek	8	0	4	1	0	94	181	1	5	2.07E-02	2	0
hpoxia/russo2019.bel	Hypoxia and Inflammation as a Consequence of β-Fibril Accumulation: A Perspective View for New Potential Therapeutic Targets.	Yojana Gadiya	8	3	2	1	0	103	160	1	7	1.52E-02	3	0
nfkb/bhardwaj2015.bel	RelB/p50 complexes regulate cytokine-induced YKL-40 expression	Sandra Spalek	5	1	4	1	0	37	92	1	10	6.91E-02	2	0
nfkb/chen2012.bel	Increased NF-κB signalling up-regulates BACE1 expression and its therapeutic potential in Alzheimer's disease.	Esther Wollert	6	1	3	1	0	20	35	1	9	9.21E-02	1	0
nfkb/marwarha2017.bel	Nuclear Factor Kappa-light-chain-enhancer of Activated B Cells (NF-κB) - a Friend, a Foe, or a Bystander - in the Neurodegenerative Cascade and Pathogenesis of Alzheimer's Disease	Sandra Spalek	7	1	6	1	0	144	305	1	2	1.48E-02	1	0
nfkb/seo2017.bel	Phytochemicals as inhibitors of NF-κB for treatment of Alzheimer’s disease	Esther Wollert	7	1	5	1	0	134	259	1	3	1.45E-02	1	0
nfkb/shi2016.bel	Upstream regulators and downstream effectors of NF-κBinAlzheimer's disease	Esther Wollert	8	1	5	1	0	99	218	1	10	2.25E-02	1	0
nfkb/srinivasan2015.bel	Significance of NF-κB as a pivotal therapeutic target in the neurodegenerative pathologies of Alzheimer's disease and multiple sclerosis	Sandra Spalek	6	0	4	1	0	75	154	1	2	2.77E-02	1	0
