Line Number	Position	Line	Error	Message
104	2	a(MESH:astrocytes) -> p(MGI:Tfeb)	MissingNamespaceNameWarning	"""astrocytes"" is not in the MESH namespace"
106	4	"SET Evidnece =""as expected, the expression of several TFEB lysosomal target genes was signifi- cantly up-regulated in TFEB-transduced astrocytes, including lysosomal marker LAMP1 and lysosomal proteases, cathepsins A and B"""	UndefinedAnnotationWarning	"""Evidnece"" is not defined"
113	20	p(MGI:Tfeb) reg act(MESH:Lysosomes)	BELSyntaxError	General Parser Failure on line 113 at pos 20: p(MGI:Tfeb) reg act(MESH:Lysosomes)
115	4	"SET Evdience =""TFEB not only increased the proportion of cells taking up beads, but also increased the pro- portion of cells taking up multiple beads, suggesting an enhanced phagocytic capacity"""	UndefinedAnnotationWarning	"""Evdience"" is not defined"
119	17	"p(MGI:Tfeb) -> a(HBP:""tau fibrils"")"	MissingNamespaceNameWarning	"""tau fibrils"" is not in the HBP namespace"
122	2	"p(MESH:""Mechanistic Target of Rapamycin Complex 1"") -> p(MGI:Tfeb,pmod(Ph))"	MissingNamespaceNameWarning	"""Mechanistic Target of Rapamycin Complex 1"" is not in the MESH namespace"
125	17	"p(MGI:Tfeb) -> a(HBP:""tau fibrils"")"	MissingNamespaceNameWarning	"""tau fibrils"" is not in the HBP namespace"
132	17	"p(MGI:Tfeb) -> a(HBP:""tau fibrils"")"	MissingNamespaceNameWarning	"""tau fibrils"" is not in the HBP namespace"
138	20	"p(MGI:Tfeb) -> tloc(HBP:""tau fibrils"",toloc(MESH:Lsosomes))"	BELSyntaxError	"General Parser Failure on line 138 at pos 20: p(MGI:Tfeb) -> tloc(HBP:""tau fibrils"",toloc(MESH:Lsosomes))"
142	29	"act(a(MESH:Astrocytes)) -> a(HBP:""tau fibrils"")"	MissingNamespaceNameWarning	"""tau fibrils"" is not in the HBP namespace"
145	8	"complex(p(MGI:Mapt,pmod(Ph),p(""Tau antibody,PHF1"")))"	NakedNameWarning	"""p"" should be qualified with a valid namespace"
146	8	"complex(p(MGI:Mapt,pmod(Ph),p(""Tau antibody,CP13"")))"	NakedNameWarning	"""p"" should be qualified with a valid namespace"
148	18	p(MGI:Tfeb) cnc p(MGI:Cp13)	MissingNamespaceNameWarning	"""Cp13"" is not in the MGI namespace"
151	8	"complex(p(MGI:Mapt,pmod(Ph),p(""Tau antibody,AT8"")))"	NakedNameWarning	"""p"" should be qualified with a valid namespace"
152	8	"complex(p(MGI:Mapt,pmod(Ph),p(""Tau antibody,AT180"")))"	NakedNameWarning	"""p"" should be qualified with a valid namespace"
153	8	"complex(p(MGI:Mapt,pmod(Ph),p(""Tau antibody,CP13"")))"	NakedNameWarning	"""p"" should be qualified with a valid namespace"
157	17	"p(MGI:Tfeb) -| p(HBP:""solubale tau"",pmod(Ph))"	MissingNamespaceNameWarning	"""solubale tau"" is not in the HBP namespace"
158	18	"p(MGI:Tfeb) cnc p(HBP:""soluble tau"")"	MissingNamespaceNameWarning	"""soluble tau"" is not in the HBP namespace"
165	4	"SET MeSHAnatomy =""Hippocumpus"""	IllegalAnnotationValueWarning	"""Hippocumpus"" is not defined in the MeSHAnatomy annotation"
170	10	"complex(p(HBP:""Tau antibody,MC1""))"	MissingNamespaceNameWarning	"""Tau antibody,MC1"" is not in the HBP namespace"
172	34	p(MGI:Tfeb) -| p(MGI:Mapt,pmod(Ph),loc)	BELSyntaxError	General Parser Failure on line 172 at pos 34: p(MGI:Tfeb) -| p(MGI:Mapt,pmod(Ph),loc)
