hgnc.symbol	hgnc	pmid	pmc
ABL1	76	17493042	
ABL1	76	23687953	PMC3750680
ABL1	76	26631930	
ABL1	76	29191965	
ABL2	77	26631930	
AK1	361	22419736	
BAG1	937	17954934	
CAMK2A	1460	26631930	
CAMK2B	1461	12428809	
CDK1	1722	10391244	
CDK1	1722	12428809	
CDK2	1771	22072628	
CDK2	1771	8282104	
CDK5	1774	12428809	
CDK5	1774	17078951	PMC1828604
CDK5	1774	21882945	PMC3190966
CDK5	1774	25001178	PMC4194100
CDK5	1774	27314526	
CDK5	1774	29191965	
CDK5	1774	29758300	
CDK5	1774	8282104	
CHEK2	16627	23001711	
CHRM1	1950	24590577	PMC5562652
CHRM1	1950	26813123	PMC4787279
CHRNA4	1958	17009926	
CHRNA7	1960	17009926	
CREBBP	2348	26631930	
CSNK1A1	2451	25974414	PMC4431475
CSNK1A1	2451	30444369	
CTSD	2529	24027553	PMC3759803
DAPK1	2674	23948915	
DAPK1	2674	24853415	PMC4047864
ESR1	3467	26837465	PMC4738266
FYN	4037	17493042	
FYN	4037	18680553	
FYN	4037	19293145	PMC2830120
FYN	4037	26631930	
FYN	4037	29191965	
GLP1R	4324	24183963	
GSK3B	4617	10.4172/2168-975X.1000126	
GSK3B	4617	10998059	
GSK3B	4617	12428809	
GSK3B	4617	12551948	
GSK3B	4617	14612456	
GSK3B	4617	17078951	PMC1828604
GSK3B	4617	18494933	PMC3538024
GSK3B	4617	19459590	PMC2739831
GSK3B	4617	21734277	PMC3391724
GSK3B	4617	21882945	PMC3190966
GSK3B	4617	24183963	
GSK3B	4617	25331948	PMC4256331
GSK3B	4617	27314526	
GSK3B	4617	29121589	PMC5681345
GSK3B	4617	29191965	
GSK3B	4617	29311797	PMC5744016
GSK3B	4617	29758300	
GSK3B	4617	29844403	PMC5974403
GSK3B	4617	30444369	
HDAC6	14064	26631930	
HDAC6	14064	28760828	PMC5602388
HSPB1	5246	14963027	
HSPH1	16969	21882945	PMC3190966
LCK	6524	26631930	
LCK	6524	29191965	
MAPK1	6871	28784767	PMC5576827
MAPK13	6875	11943212	
MAPK13	6875	29311797	PMC5744016
MAPK14	6876	11943212	
MAPK8	6881	11943212	
MAPK9	6886	12428809	
MAPT	6893	10391244	
MAPT	6893	16566606	
MAPT	6893	24760868	
MAPT	6893	24905733	PMC4311138
MAPT	6893	25378699	PMC4246270
MAPT	6893	25974414	PMC4431475
MAPT	6893	26390242	PMC4598295
MAPT	6893	26458742	PMC4608380
MAPT	6893	26631930	
MAPT	6893	30116051	PMC6456907
MAPT	6893	8226987	
MAPT	6893	8391280	
MARK1	6896	12428809	
MARK1	6896	21311567	PMC3178434
MARK1	6896	22952452	PMC3431335
MARK1	6896	26631930	
MARK2	3332	21311567	PMC3178434
MARK2	3332	21882945	PMC3190966
MARK2	3332	23001711	
MARK2	3332	24251416	
MARK2	3332	29215007	PMC5719408
MTOR	3942	29758300	
PIN1	8988	19401603	PMC2719320
PIN1	8988	22926167	
PIN1	8988	26996941	
PPP1CA	9281	25001178	PMC4194100
PPP2CA	9299	19401603	PMC2719320
PPP2CA	9299	24653673	PMC3949405
PPP2CA	9299	26631930	
PPP2CA	9299	29062069	PMC5653760
PPP2CA	9299	29191965	
PPP2CB	9300	24653673	PMC3949405
PPP5C	9322	21882945	PMC3190966
PPP5C	9322	26631930	
PPP5C	9322	29311797	PMC5744016
PRKAA1	9376	29758300	
PTGES3	16049	29311797	PMC5744016
S100A1	10486	29311797	PMC5744016
S100B	10500	18494933	PMC3538024
SIRT1	14929	20869593	PMC3035103
SIRT1	14929	26631930	
SIRT1	14929	29540553	PMC5895994
SRC	11283	29191965	
SYK	11491	25331948	PMC4256331
SYK	11491	26631930	
SYK	11491	28877763	PMC5588676
SYK	11491	29191965	
TAOK1	29259	25974414	PMC4431475
TAOK2	16835	25974414	PMC4431475
UBE2D2	12475	14612456	
